Path,Dissimilarity,Contrast,Homogeneity,Energy,Correlation,ASM,Label
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_0_0.jpg,0.7878370585427935,1.6868388084632517,0.690692749119359,0.49669465496044213,0.19783512810766976,0.24670558026627268,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_11_1.jpg,0.7652571189945911,1.559561923321667,0.6922511462871985,0.48945852819869456,0.17101555600265772,0.2395696508264323,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_14_2.jpg,0.8252813792554885,1.8331957922367166,0.6799803377014583,0.4694886918211025,0.3423620427272642,0.22041963174789012,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_15_3.jpg,0.7308254454342984,1.4819788020999045,0.70568174351324,0.5016158433601554,0.240892499865248,0.2516184543099199,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_16_4.jpg,0.9059268612790328,2.068639635698377,0.6544859265151501,0.4524657190268536,0.15425478828741132,0.20472522689448766,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_17_5.jpg,0.8244561326757873,1.8420647072860323,0.6806261100425011,0.45952071154211893,0.312382910402951,0.21115928433617528,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_19_6.jpg,0.8802497613744831,2.0045338848234175,0.6629621057893035,0.45165335419903185,0.20930072270831893,0.20399075235923614,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_22_8.jpg,0.6982033487114223,1.3741300111358574,0.7151997595841351,0.5164627262369998,0.2386665980393067,0.26673374759215424,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_23_9.jpg,0.8823327632834871,2.0231417037861914,0.6630223382924237,0.4583598430200397,0.1833400089359215,0.2100937456933554,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_25_10.jpg,0.7234031975819282,1.4790208399618199,0.7093440122183736,0.5129893660718388,0.20894801263659415,0.26315808970278703,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_27_11.jpg,0.7466691854915685,1.5594177537384664,0.7024521434779525,0.5036504742040767,0.2518691317724407,0.2536638001659914,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_29_12.jpg,0.8361189548202355,1.922829502068088,0.6809348313795697,0.45690322245070675,0.2665253782971707,0.20876055468584,Cap
dataset_magang/Training/Cap\Yogya-Cap-Nogosari--Sogan_black_tophat_sq_3_2_7.jpg,0.7880756840598154,1.6880418787782374,0.6893145793911795,0.48712886167413766,0.21349594948603537,0.23729452787594113,Cap
